codgeo;libgeo;an;p_licsport014_f
200066355;CA Sète Agglopôle Méditerranée;2018;35,20
200066363;CC de la Haute Ariège;2018;45,30
200066371;CC Causses et Vallée de la Dordogne;2018;40,20
200066389;CA Saint-Lô Agglo;2018;42,80
200066405;CC Roumois Seine;2018;41,70
200066413;CC Intercom Bernay Terres de Normandie;2018;40,70
200066462;CC Interco Normandie Sud Eure;2018;41,40
200066512;CC Élan Limousin Avenir Nature;2018;43,40
200066520;CC Ouest Limousin;2018;47,20
200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;2018;42,40
200066561;CC Sidobre Vals et Plateaux;2018;35,30
200066587;CC des Monts du Lyonnais;2018;41,00
200066603;CC du Pays de Lubersac-Pompadour;2018;45,90
200066637;CC Hautes Terres Communauté;2018;40,20
200066645;CC Vézère-Monédières-Millesources;2018;43,30
200066652;CC Grand Sud Tarn et Garonne;2018;37,70
200066660;CC Saint-Flour Communauté;2018;44,00
200066678;CC de la Châtaigneraie Cantalienne;2018;42,00
200066710;CC Cingal-Suisse Normande;2018;36,90
200066728;CC Vallées de l'Orne et de l'Odon;2018;35,00
200066744;CC Haute-Corrèze Communauté;2018;42,60
200066751;CC Xaintrie Val'Dordogne;2018;49,70
200066769;CC Midi Corrézien;2018;44,60
200066777;CC Ploërmel Communauté;2018;38,30
200066785;CC de l'Oust à Brocéliande;2018;42,30
200066793;CA du Grand Annecy;2018;39,50
200066801;CC Isigny-Omaha Intercom;2018;35,20
200066819;CC du Volvestre;2018;39,00
200066827;CC du Pays de Honfleur-Beuzeville;2018;40,30
200066835;CC de Sézanne-Sud Ouest Marnais;2018;40,40
200066850;CC des Paysages de la Champagne;2018;40,70
200066868;CC Presqu'île de Crozon-Aulne maritime;2018;35,60
200066876;CA de Châlons-en-Champagne;2018;41,40
200066884;CC Quercy Vert-Aveyron;2018;41,90
200066892;CC de Vendeuvre-Soulaines;2018;40,10
200066918;CA Alès Agglomération;2018;42,40
200066926;CA Grand Auch Cœur de Gascogne;2018;35,70
200066975;CC Senlis Sud Oise;2018;40,30
200067023;CC Coutances Mer et Bocage;2018;40,40
200067031;CC Côte Ouest Centre Manche;2018;40,10
200067049;CC Spelunca-Liamone;2018;39,30
200067064;CC Decazeville Communauté;2018;39,20
200067072;CC Haut-Léon Communauté;2018;40,00
200067080;CC Chablis Villages et Terroirs;2018;45,70
200067106;CA du Pays Basque;2018;35,50
200067114;CA de l'Auxerrois;2018;40,70
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;2018;46,10
200067130;CC de Puisaye-Forterre;2018;44,30
200067155;CC Saint Affricain, Roquefort, Sept Vallons;2018;44,50
200067163;CC Monts, Rance et Rougier;2018;38,50
200067171;CC Aubrac, Carladez et Viadène;2018;41,70
200067189;CC Creuse Sud Ouest;2018;46,20
200067197;CC Monts d'Arrée Communauté;2018;43,60
200067205;CA du Cotentin;2018;41,20
200067213;CU du Grand Reims;2018;39,40
200067221;CC Centre Morbihan Communauté;2018;38,20
200067239;CC des Luys en Béarn;2018;43,70
200067247;CC Pleyben-Châteaulin-Porzay;2018;39,30
200067254;CA Pau Béarn Pyrénées;2018;41,50
200067262;CC du Haut-Béarn;2018;38,90
200067288;CC du Béarn des Gaves;2018;39,20
200067296;CC du Nord Est Béarn;2018;41,80
200067304;CC Serein et Armance;2018;41,30
200067320;CC Serre-Ponçon Val d'Avance;2018;44,70
200067346;CA Pornic Agglo Pays de Retz;2018;42,00
200067361;CC Grand-Figeac;2018;41,40
200067379;CC Côtes de Champagne et Val de Saulx;2018;39,20
200067429;CC Haut Nivernais-Val d'Yonne;2018;44,20
200067437;CA Provence-Alpes-Agglomération;2018;43,80
200067445;CC Buëch-Dévoluy;2018;38,90
200067452;CC du Guillestrois et du Queyras;2018;47,30
200067460;CC Loudéac Communauté - Bretagne Centre;2018;38,90
200067478;CC Comtal Lot et Truyère;2018;40,20
200067486;CC Bouzonvillois-Trois Frontières;2018;39,70
200067502;CA Saint-Avold Synergie;2018;43,20
200067544;CC Creuse Confluence;2018;45,00
200067551;CA Thonon Agglomération;2018;36,30
200067593;CC Marche et Combraille en Aquitaine;2018;40,10
200067627;CC Billom Communauté;2018;39,20
200067635;CA Clisson Sèvre et Maine Agglo;2018;38,00
200067643;CC Meurthe, Mortagne, Moselle;2018;44,50
200067650;CC Houve-Pays Boulageois;2018;44,80
200067668;CC de la Cléry, du Betz et de l'Ouanne;2018;39,00
200067676;CC Canaux et Forêts en Gâtinais;2018;35,10
200067684;CA Épernay, Coteaux et Plaine de Champagne;2018;42,50
200067692;CC Tannay-Brinon-Corbigny;2018;42,20
200067700;CC Sud Nivernais;2018;44,00
200067742;CC Serre-Ponçon;2018;43,00
200067759;CC Vallées et Plateau d'Ardenne;2018;41,30
200067767;CC du Royans-Vercors;2018;38,80
200067783;CC de Hanau-La Petite Pierre;2018;42,10
200067791;CA Pays Foix-Varilhes;2018;41,80
200067817;CC Saône-Beaujolais;2018;39,70
200067825;CA Gap-Tallard-Durance;2018;42,90
200067841;CC de l'Alsace Bossue;2018;38,40
200067866;CC Sèvre et Loire;2018;41,00
200067874;CA de Haguenau;2018;44,70
200067882;CC Bazois Loire Morvan;2018;40,80
200067890;CC Morvan Sommets et Grands Lacs;2018;48,90
200067908;CC Amognes Cœur du Nivernais;2018;42,10
200067916;CC Cœur de Loire;2018;41,60
200067924;CC du Canton d'Erstein;2018;43,80
200067932;CA Golfe du Morbihan - Vannes Agglomération;2018;37,30
200067940;CC Couserans-Pyrénées;2018;41,10
200067957;CC Haut Chemin-Pays de Pange;2018;42,30
200067965;CA de la Région de Compiègne et de la Basse Automne;2018;36,10
200067973;CC Thelloise;2018;40,80
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;2018;35,10
200067999;CA du Beauvaisis;2018;40,50
200068005;CC de l'Oise Picarde;2018;44,20
200068047;CA Creil Sud Oise;2018;40,60
200068070;CC Loue-Lison;2018;43,40
200068088;CC Les Bertranges;2018;37,90
200068096;CC Champsaur-Valgaudemar;2018;35,90
200068104;CA de la Provence Verte;2018;38,40
200068112;CC du Pays de Saverne;2018;44,70
200068120;CA Quimper Bretagne Occidentale;2018;34,50
200068146;CC Sarrebourg Moselle Sud;2018;41,40
200068229;CC des Baronnies en Drôme Provençale;2018;41,40
200068278;CC Berry Loire Puisaye;2018;40,10
200068294;CC des Deux Vallées Vertes;2018;37,40
200068369;CC de Mirecourt Dompaire;2018;46,60
200068377;CC de la Porte des Vosges Méridionales;2018;38,30
200068435;CC Cœur du Perche;2018;40,30
200068443;CC Andaine - Passais;2018;34,40
200068450;CC Argentan Intercom;2018;44,90
200068468;CC des Pays de L'Aigle;2018;42,40
200068484;CC des Causses à l'Aubrac;2018;40,30
200068500;CA de Cambrai;2018;39,80
200068534;CC Terroir de Caux;2018;39,10
200068542;CC Les Balcons du Dauphiné;2018;35,90
200068559;CC de l'Ouest Vosgien;2018;44,40
200068567;CC Les Vals du Dauphiné;2018;41,70
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;2018;39,30
200068641;CA Le Muretain Agglo;2018;37,10
200068658;CA de Chaumont;2018;43,80
200068666;CA de Saint-Dizier Der et Blaise;2018;41,90
200068674;CA Grand Lac;2018;40,20
200068682;CC Terre d'Eau;2018;44,50
200068757;CA d'Épinal;2018;46,00
200068765;CC du Sisteronais-Buëch;2018;42,00
200068773;CC des Vosges côté Sud Ouest;2018;42,50
200068781;CA Valence Romans Agglo;2018;36,10
200068799;CC Intercom de la Vire au Noireau;2018;43,10
200068807;CC du Bassin Auterivain Haut-Garonnais;2018;36,40
200068815;CC Cœur de Garonne;2018;36,60
200068831;CC Pays Ségali Communauté;2018;39,90
200068856;CC des Hauts du Perche;2018;37,20
200068864;CC de la Mossig et du Vignoble;2018;42,60
200068872;CC Éguzon - Argenton - Vallée de la Creuse;2018;43,30
200068880;CC Champagne Boischauts;2018;33,10
200068914;CC La Rochefoucauld - Porte du Périgord;2018;46,70
200068922;CC du Confluent et des Coteaux de Prayssas;2018;44,30
200068930;CC Fumel Vallée du Lot;2018;37,90
200068948;CC Albret Communauté;2018;37,90
200068955;CC Anjou Loir et Sarthe;2018;34,40
200068963;CC Maine Cœur de Sarthe;2018;34,60
200068989;CA Dinan Agglomération;2018;39,70
200068997;CA Arlysère;2018;38,10
200069003;CC du Barséquanais en Champagne;2018;33,70
200069029;CA des Deux Baies en Montreuillois;2018;42,50
200069037;CA du Pays de Saint-Omer;2018;38,00
200069052;CA Grand Belfort;2018;42,70
200069060;CC des Vosges du Sud;2018;44,30
200069086;CC Leff Armor Communauté;2018;39,80
200069094;CC Isle et Crempse-en-Périgord;2018;39,10
200069102;CC Randon - Margeride;2018;43,80
200069110;CA du Grand Chambéry;2018;44,80
200069128;CC Mont Lozère;2018;38,90
200069136;CC des Cévennes au Mont Lozère;2018;45,70
200069144;CC des Hautes Terres de l'Aubrac;2018;38,40
200069151;CC Gorges Causses Cévennes;2018;40,50
200069169;CC Dômes Sancy Artense;2018;39,50
200069177;CC Mond'Arverne Communauté;2018;42,40
200069185;CC des Terres d'Apcher-Margeride-Aubrac;2018;42,00
200069193;CC de la Dombes;2018;39,10
200069227;CC Pays Fort Sancerrois Val de Loire;2018;42,30
200069235;CC du Haut Pays du Montreuillois;2018;41,80
200069250;CA Troyes Champagne Métropole;2018;40,90
200069268;CC Aubrac Lot Causses Tarn;2018;37,90
200069300;CA Tarbes-Lourdes-Pyrénées;2018;39,50
200069383;CC Ouest Aveyron Communauté;2018;42,50
200069391;CA de Lamballe Terre et Mer;2018;33,20
200069409;CA Saint-Brieuc Armor Agglomération;2018;42,70
200069417;CC Pays d'Orthe et Arrigans;2018;40,00
200069425;CA Mont-Saint-Michel-Normandie;2018;42,00
200069433;CC de Vezouze en Piémont;2018;42,10
200069441;CC du Pays de Bitche;2018;43,90
200069458;CC des Vallées d'Auge et du Merlerault;2018;38,00
200069482;CC des Campagnes de l'Artois;2018;37,10
200069516;CC Seulles Terre et Mer;2018;40,00
200069524;CC Pré-Bocage Intercom;2018;36,70
200069532;CA Lisieux Normandie;2018;42,70
200069540;CC Norge et Tille;2018;36,90
200069565;CC des Lacs et Montagnes du Haut-Doubs;2018;40,80
200069581;CC Convergence Garonne;2018;37,80
200069599;CC Rurales de l'Entre-deux-Mers;2018;37,40
200069615;CC Bresse Haute Seille;2018;42,40
200069623;CC Champagnole Nozeroy Jura;2018;45,60
200069631;CC Terres de Chalosse;2018;44,30
200069649;CC Chalosse Tursan;2018;45,90
200069656;CC Cœur Haute Lande;2018;37,60
200069664;CC Meuse Rognon;2018;39,90
200069672;CC du Ternois;2018;36,70
200069698;CC Mâconnais - Tournugeois;2018;38,40
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;2018;36,70
200069730;CC des Quatre Rivières;2018;41,10
200069748;CC Val de Gâtine;2018;43,80
200069755;CC Mellois-en-Poitou;2018;44,40
200069763;CC du Haut-Poitou;2018;41,00
200069821;CA Fécamp Caux Littoral Agglomération;2018;41,80
200069839;CC de la Côte d'Albâtre;2018;38,30
200069847;CC Plateau de Caux-Doudeville-Yerville;2018;39,10
200069854;CU du Grand Poitiers;2018;40,90
200069912;CC des Forêts du Perche;2018;40,80
200069953;CC des Portes Euréliennes d'Île-de-France;2018;41,10
200069961;CC du Grand Châteaudun;2018;44,60
200069995;CC Médoc Cœur de Presqu'île;2018;38,80
200070035;CC du Civraisien en Poitou;2018;46,20
200070043;CC Vienne et Gartempe;2018;40,30
