codgeo;disp_q1_a16;disp_q2_a16;disp_q3_a16;disp_q1q3q2_a16;disp_d1_a16;disp_d2_a16;disp_d3_a16;disp_d4_a16;disp_d6_a16;disp_d7_a16;disp_d8_a16;disp_d9_a16;disp_d1d9_a16;disp_gini_a16;disp_s80s20_a16;disp_pact_a16;disp_pcho_a16;disp_ppen_a16;disp_ppat_a16;disp_ppsoc_a16;disp_ppfam_a16;disp_ppmini_a16;disp_pplogt_a16;disp_pimpot_a16;tp60_a16;note
Ensemble;10040;13210;17590;0,6;7830;9390;10670;11930;14690;16500;18880;22760;2,9;0,245;3,479;61,8;6,1;22;3,2;22,6;6,4;9,2;6,9;-9,6;44,3;0
QP001001;10620;13690;17770;0,5;8320;9990;11180;12480;14970;16770;19070;22920;2,8;0,228;3,184;53,2;6,3;32,4;4,6;19,1;5,7;7,2;6,2;-9,3;40;0
QP001002;9810;12280;15240;0,4;7380;9190;10520;11550;13150;14610;15950;19270;2,6;0,2;2,863;49,7;7,6;26,9;2,6;27,6;6,3;12,2;9,1;-6,8;52,1;0
QP001003;11450;15420;22300;0,7;7510;10270;12200;13930;17220;19630;24850;36660;4,9;0,356;6,287;80,1;5,3;18,6;3,2;9,6;3,6;2,6;3,4;-11,5;31,1;0
QP001004;10380;13870;18900;0,6;8130;9890;10930;12250;15420;17070;20500;26860;3,3;0,277;3,898;72,4;5,3;18,2;3,2;16,1;6;4,8;5,3;-9,9;41,5;0
QP001005;10150;12940;16980;0,5;7480;9550;10770;11740;14270;15960;18080;21870;2,9;0,229;3,296;61,2;6,4;20,5;2,6;24;7,6;8,7;7,7;-8,3;45,6;0
QP001006;10660;13340;16860;0,5;8430;9980;11140;12300;14460;15940;17850;20610;2,4;0,195;2,697;58,2;9;26;2,5;20,8;8,1;6,3;6,4;-7,5;41,9;0
QP001007;10560;13190;17520;0,5;8290;9740;11120;11970;14820;16480;18330;20820;2,5;0,206;2,762;67,8;7,7;16,1;2,1;22,2;8,1;7,2;6,8;-8,2;44,4;0
QP001008;9930;11940;15150;0,4;7870;9520;10210;11300;13060;14090;15740;18870;2,4;0,196;2,608;54,6;7,1;24,5;2,3;25,6;8,4;10;7,3;-7;55,5;0
QP001009;10900;13510;17560;0,5;8580;10160;11650;12340;14970;16440;18540;22980;2,7;0,222;3,055;67,5;7,4;22,4;2,6;16,6;6;5,4;5,2;-9,1;40,9;0
QP002001;9620;12640;17440;0,6;7890;9120;10020;11150;14320;16300;18710;22810;2,9;0,244;3,295;37,6;4,8;42;4,6;24,5;6,1;10,6;7,7;-8,7;49,5;0
QP002002;10570;14280;18330;0,5;8520;9920;11160;12830;15770;17130;19700;23580;2,8;0,249;3,414;59,6;5,2;27,2;4,1;19,6;5,1;8,4;6,2;-10,5;37,3;0
QP002003;9800;12890;16290;0,5;7780;9020;10430;11750;14160;15680;17320;20280;2,6;0,22;3,017;44,3;6,3;32,1;2,5;28,2;5,4;13,4;9,4;-7,1;47,1;0
QP002004;8960;11830;16010;0,6;7440;8600;9550;10700;12900;14690;17000;19650;2,6;0,226;3,069;45,1;6,6;26;2,3;33,4;6,6;16,4;10,5;-6,8;56,7;0
QP002005;9620;12480;17780;0,7;7610;8980;10050;11170;14400;16330;18690;23620;3,1;0,261;3,719;44,6;5,3;31,6;4,8;27,5;5,3;13,6;8,6;-8,5;50;0
QP002006;9650;13110;18140;0,6;7990;9020;10400;11690;15000;17170;19220;24920;3,1;0,26;3,575;46,5;3,4;35,8;5,6;21,4;4,4;10,2;6,7;-9,3;44,3;0
QP002007;10010;12490;17120;0,6;8030;9490;10460;11460;13910;15870;18140;22740;2,8;0,266;3,608;58,5;6,8;21,5;4,6;25,4;6,6;10,7;8,1;-10;50;0
QP002008;9470;12340;16830;0,6;7720;9140;9930;11110;13640;15650;18630;23260;3;0,26;3,493;52,9;6,7;23,1;4,7;28;6,3;13,4;8,3;-8,7;50,6;0
QP002009;8890;11460;14660;0,5;7050;8590;9240;10170;12700;13830;15620;18820;2,7;0,217;2,96;42,6;6,9;24;1,9;37,3;7,1;17,8;12,4;-5,8;58,2;0
QP002010;9130;12180;16050;0,6;7700;8700;9830;10670;13280;14700;17110;20720;2,7;0,247;3,415;42,6;5,8;33,1;4,1;28,5;5,9;13,2;9,4;-8,3;51,4;0
QP002011;8820;11290;14890;0,5;7170;8430;9200;10200;12460;13930;16060;19930;2,8;0,235;3,249;43,6;7;27,4;2,8;33,4;7,6;15,3;10,5;-7,2;60,1;0
QP002012;10400;13220;16640;0,5;8400;9670;11040;12130;14280;15840;17610;20250;2,4;0,197;2,714;45,9;6,9;33,3;2,7;25;4,1;12,6;8,3;-6,9;43,5;0
QP002013;8950;11810;15190;0,5;7080;8420;9700;10760;12910;14350;16200;19170;2,7;0,218;3,068;50,6;7,7;21,9;1,8;32,1;8,4;13,7;10;-6,4;55,9;0
QP002014;8910;10530;13650;0,5;7150;8350;9160;9690;11560;13020;14430;16930;2,4;0,192;2,553;40,3;8;15,3;1;48;13,9;20,4;13,7;-4,6;63,8;0
QP002015;10740;13830;18130;0,5;8600;10350;11490;12490;15610;17350;19240;22050;2,6;0,209;2,842;65,9;6,1;20,9;1,4;20,7;5,6;8,2;6,9;-8,9;39,9;0
QP002016;10180;13280;16730;0,5;8510;9650;10750;11760;14520;15950;17800;20770;2,4;0,218;2,968;61,9;7,2;17,6;2,7;26,2;7,6;10;8,5;-8,4;45,6;0
QP002017;9800;12470;16250;0,5;7770;9240;10260;11360;13660;15440;17420;19990;2,6;0,213;2,925;58,8;9,1;20,5;1,9;26,4;6,8;10,7;8,9;-7,6;50,5;0
QP003001;10160;14030;19000;0,6;7650;9300;10940;12560;15470;17840;20530;25010;3,3;0,267;3,86;53,7;5,3;29,4;7,4;19,9;3;10,6;6,3;-10,4;39,4;0
QP003002;10020;12910;16730;0,5;8540;9590;10630;11940;14230;15360;18080;21450;2,5;0,211;2,835;36,5;4,6;40,8;4,1;26,1;5,8;11,8;8,5;-7,5;46,4;0
QP003003;10340;13780;18100;0,6;8140;9750;10940;12410;15140;17040;19180;22670;2,8;0,23;3,204;45,7;4,8;34,5;4,6;24;5,2;11,1;7,7;-8,8;40,4;0
QP003004;10160;13940;18400;0,6;7720;9450;10970;12300;15550;17260;19960;24100;3,1;0,275;4,036;46,8;4,8;37,4;7,2;20,5;4,3;9,9;6,2;-11,9;41,1;0
QP003005;10010;12690;16270;0,5;7800;9310;10800;11870;14190;15540;17380;19900;2,6;0,205;2,856;38,5;5,2;35;3,2;29,5;4,9;15,1;9,5;-6,2;47,4;0
QP003006;8590;11520;15020;0,6;7250;8260;9250;10090;12860;14260;15820;18330;2,5;0,219;2,923;35,9;4,3;27;2,9;40;8,5;19,7;11,8;-5,8;57,7;0
QP004001;10060;13290;18670;0,6;8130;9670;10660;12300;14830;17160;20220;25350;3,1;0,264;3,737;54,6;4,6;29;6;20,8;3,5;10,5;6,8;-10,4;41,4;0
QP004002;11130;14800;19420;0,6;8140;10300;11840;13130;16450;18140;21070;25420;3,1;0,259;3,813;58,8;6,1;29,3;7,5;15,3;3,1;7,1;5;-10,9;34,1;0
QP004003;10390;13400;17790;0,6;8120;9810;11090;12230;15060;16830;19480;23620;2,9;0,252;3,631;49,6;7,1;33,3;6;20,6;6,6;8;6;-9,5;42,8;0
QP005001;10400;14350;20070;0,7;8640;9950;10980;12400;16270;18790;21410;26060;3;0,257;3,495;53,6;5;34;5,7;17,3;5,1;6,9;5,2;-10,6;40,3;0
QP006001;10390;13820;17550;0,5;8020;9710;11090;12480;14950;16710;18590;22450;2,8;0,22;3,149;50,8;5,1;30,2;2,3;24,6;5,3;11,3;8;-7,9;40;0
QP006002;10630;13970;18780;0,6;7600;9990;11220;12590;15450;17380;20000;23560;3,1;0,255;3,687;65,1;6,8;23,2;6;16,6;4;7,4;5,1;-10,9;39,6;0
QP006003;11580;14760;18670;0,5;8980;10840;12210;13480;16070;17560;19940;23060;2,6;0,206;2,895;62,9;6,9;25,5;2,6;17,7;5,3;6,9;5,5;-8,7;32,2;0
QP006004;11790;14900;19100;0,5;9430;11060;12490;13700;16560;18090;20230;23440;2,5;0,201;2,719;60,4;5,7;29,7;2,7;16,6;4,9;6,2;5,5;-9,4;30;0
QP006005;10470;14380;19210;0,6;7580;9710;11220;12820;16140;18100;20630;24970;3,3;0,261;3,926;71,5;6,3;17,9;4,3;17,1;4,3;7,3;5,5;-10,8;38,4;0
QP006006;10910;13640;16830;0,4;8950;10400;11330;12480;14510;16250;17820;21240;2,4;0,196;2,629;60,1;8;21,7;1,8;23,6;7;8,6;8;-7,2;40,1;0
QP006007;10820;14610;18130;0,5;7860;10070;11610;13180;16050;17370;19360;23740;3;0,224;3,262;70,6;5,4;18,4;2,2;18,5;8,1;5,9;4,5;-9,7;35,6;0
QP006008;11650;14730;18580;0,5;8910;10810;12310;13470;16230;17450;19830;22920;2,6;0,206;2,88;64;6,4;22,9;2,3;19,2;6,4;7;5,8;-8,4;31,9;0
QP006009;6860;10320;11850;0,5;4850;6480;7880;9210;11140;11620;12280;14440;3;0,217;3,301;7,3;2,8;35,8;1,2;57,2;;;19,5;-1,5;83;0
QP006010;9920;12630;16280;0,5;7760;9290;10510;11540;13940;15390;17250;20180;2,6;0,212;2,96;53,9;6,8;22,5;1,9;28,9;7,8;12,4;8,6;-7,2;48,3;0
QP006011;9800;12260;17210;0,6;7240;8980;10370;11160;13850;16410;18110;21820;3;0,242;3,414;47,5;5,3;31,1;3,6;25,3;4,1;13,6;7,7;-7,5;51,7;0
QP006012;10470;14430;20260;0,7;7330;9670;11390;12990;16550;18920;22000;28070;3,8;0,294;4,596;62,5;4,5;26,4;9,5;15,2;2,8;7,7;4,8;-13,6;36,1;0
QP006013;10050;13190;17260;0,5;7840;9420;10660;11980;14620;16330;18370;22010;2,8;0,226;3,183;58,5;5,9;21,1;2,8;26,2;7,3;11,6;7,3;-8,6;44,1;0
QP006014;9830;12840;16640;0,5;7570;9230;10440;11600;13940;15590;17740;20890;2,8;0,225;3,216;55,2;6,1;23,7;2,8;26,3;9,3;10,1;6,9;-8;47,3;0
QP006015;11320;14910;20310;0,6;8350;10190;12130;13580;16880;18920;21730;26650;3,2;0,257;3,789;73,5;5,1;18,1;4,4;15,7;3,9;7;4,8;-11,7;31,7;0
QP006016;9520;13760;20090;0,8;6910;8650;10450;12170;16020;18460;22060;27650;4;0,308;5,094;66,6;5,7;24,8;6,2;14,4;2,8;7,4;4,2;-12;42,4;0
QP007001;9860;12650;16670;0,5;7680;9350;10560;11580;13930;15730;17980;22230;2,9;0,265;3,791;49,5;7,5;29,7;7,4;22,9;5,3;10;7,7;-9,5;48,7;0
QP007002;9970;13640;17920;0,6;7290;9560;10560;12290;15150;16830;19040;22300;3,1;0,251;3,697;56,1;6,1;28,4;6,5;18,5;4;8,9;5,5;-9,5;41,2;0
QP007003;9810;12660;17110;0,6;7870;9210;10400;11550;14010;15820;18180;22670;2,9;0,245;3,307;51,3;7,7;28,7;4,8;23,6;6,8;9,6;7,2;-8,4;48,4;0
QP007004;9960;12650;16680;0,5;7960;9410;10550;11740;14130;15700;17850;20770;2,6;0,23;3,176;59,6;9;21,7;4;23,5;6,7;9,3;7,5;-8,8;48,8;0
QP007005;9590;13030;16870;0,6;7130;9210;10340;11810;14350;16070;18200;22540;3,2;0,244;3,522;43;4,9;34,5;4,4;26,3;5,9;12,6;7,7;-8,2;45,5;0
QP008001;9310;12360;16190;0,6;7950;8910;9840;11100;13570;15250;17600;20940;2,6;0,221;2,981;43;5,8;33,6;2,6;28;5,3;13,5;9,2;-7,2;51,2;0
QP008002;9070;11390;14790;0,5;7520;8640;9550;10420;12640;14040;15830;18950;2,5;0,213;2,867;40,5;5,4;29,1;2,6;34,1;7,7;15,9;10,5;-6,3;58,6;0
QP008003;9470;12250;16180;0,5;7870;8970;9950;11280;13450;15160;17390;20640;2,6;0,219;2,96;46,7;5,7;28,4;2,7;29,2;5,1;14,4;9,7;-7;53;0
QP008004;10090;13860;18480;0,6;7970;9400;10630;11970;15390;17360;19740;23840;3;0,266;3,706;58,2;6,3;26,5;3,9;21,9;4,4;10,3;7,2;-10,5;43,1;0
QP008005;10110;13090;16740;0,5;8450;9860;10830;11890;14450;15700;17630;21580;2,6;0,222;2,878;50,3;6,6;26,7;4,5;26,8;6,8;12,5;7,5;-8,3;44,1;0
QP008006;10170;14520;19450;0,6;8080;9580;11500;12950;16180;17850;20710;26590;3,3;0,274;3,806;55,3;4,9;29,4;6,6;19,6;3;10,2;6,4;-10,9;36,7;0
QP008007;9430;12290;15940;0,5;7820;8930;9880;10980;13530;15010;16980;20810;2,7;0,228;3,094;48,6;6,6;25,6;3,2;30,4;5,5;15;10;-7,8;51,7;0
QP008008;9970;13530;18790;0,7;7970;9390;10580;11930;15200;17340;19860;24280;3;0,26;3,628;54,5;5,1;27,9;6,3;21,6;4;10,8;6,8;-10,3;43,6;0
QP009001;9940;13700;18780;0,6;8010;9210;10550;12320;15320;17590;20310;26170;3,3;0,281;3,952;53,6;5,2;28,8;8,5;20,4;1,7;11,5;7,2;-11,3;40,7;0
QP009002;10320;14270;19770;0,7;7670;9640;11110;12860;16190;18720;21550;28720;3,7;0,312;4,885;56,4;6,7;29,4;7,8;17,6;1,3;9,6;6,7;-11,2;37,2;0
QP009003;9960;13420;18020;0,6;7480;9360;10620;12020;14910;16860;19380;24220;3,2;0,27;3,969;51,8;5,5;29,3;6,6;22,4;3,7;11,1;7,6;-10,1;42,8;0
QP010001;10330;13450;18100;0,6;8020;9570;10910;11910;14640;16730;20490;24400;3;0,282;4;59,7;5,4;23,2;4,2;24,3;7;9;8,4;-11,4;43,5;0
QP010002;10820;13990;17790;0,5;8780;10380;11590;12700;15360;17100;18590;21500;2,4;0,211;2,936;60;6,9;23;3,2;22,8;4,6;10,2;8,1;-9;37,3;0
QP010003;9780;12450;15950;0,5;7970;9180;10270;11180;13520;14980;16790;19670;2,5;0,206;2,835;50,5;8,1;25,2;1,9;29,1;8,1;11,8;9,2;-6,7;50,4;0
QP010004;10200;13030;15830;0,4;8260;9770;10920;11950;14060;15180;16980;19560;2,4;0,193;2,703;58,4;9,2;14,3;1,4;32,9;10,2;12,2;10,4;-7;45,2;0
QP010005;9290;12620;16030;0,5;7730;8830;9770;10980;13890;15120;17550;21890;2,8;0,262;3,762;52,2;6,5;24,5;3,5;28,9;8,1;10,8;10;-9,1;49,8;0
QP010006;9110;11650;15110;0,5;7150;8630;9570;10650;12930;14340;16210;18850;2,6;0,22;3,104;45,2;7,5;26,5;1,9;32,8;8,3;14,4;10;-6,4;56,6;0
QP010007;8630;10670;13800;0,5;6630;7950;8990;9860;11410;12780;14940;17640;2,7;0,227;3,269;40,7;6,8;25,5;2,6;36,9;9,6;17,5;9,9;-5,7;67,7;0
QP010008;8950;11650;15050;0,5;6850;8530;9470;10370;12680;13930;16070;18980;2,8;0,229;3,189;48,3;7,6;17;1,6;39,2;8,3;18,7;12,2;-6,1;58,4;0
QP010009;9560;12400;15460;0,5;7820;9000;10460;11590;13280;14800;16360;17650;2,3;0,192;2,619;49,1;8,6;16,7;1,5;38,3;10,2;16,4;11,7;-5,6;50,4;0
QP010010;9140;12010;15170;0,5;7420;8660;9850;10880;13390;14540;15960;18860;2,5;0,224;3,107;49,3;8,5;24,5;2,2;30,9;6,1;13,8;10,9;-6,9;51,6;0
QP011001;10370;13690;18320;0,6;8270;9770;10860;12510;15040;17200;19760;24530;3;0,287;4,104;50,2;5,9;32,4;6,8;21,7;2,8;11,7;7,2;-11,1;39,6;0
QP011002;8970;11570;14780;0,5;6810;8420;9350;10450;12700;13940;15780;19560;2,9;0,255;3,667;44,9;6,4;23,2;4,2;35,9;9,4;16;10,4;-8,2;57,7;0
QP011003;8460;10400;13520;0,5;6740;7940;8900;9580;11540;12870;14320;17780;2,6;0,23;3,212;35;6,2;25,4;2,3;42,7;8,6;20,5;13,6;-5,4;66,5;0
QP011004;10110;13840;19940;0,7;7790;9570;10760;12350;15790;18270;21850;29010;3,7;0,323;5,013;59,6;5,3;24,9;8,4;20,8;2,4;11,4;7;-13,7;41,3;0
QP011005;8600;11670;15890;0,6;6880;8300;9290;10270;12870;14840;17200;22240;3,2;0,265;3,823;38,6;6;34,4;4,2;30,8;6,6;14,8;9,4;-8;57;0
QP011006;9790;12870;17200;0,6;8230;9290;10270;11440;14140;15790;18290;22700;2,8;0,24;3,186;46,9;6,7;29,5;3,2;29,1;7,3;12,8;9,1;-8,7;47;0
QP011007;9380;11860;15780;0,5;7730;8960;9890;10720;13230;14790;16890;20990;2,7;0,24;3,233;42,6;6,1;30,3;4,8;30,4;6,6;14,2;9,5;-8,1;54,8;0
QP011008;9870;13350;18130;0,6;7380;9070;10610;12010;14800;16870;19650;25040;3,4;0,303;4,599;54;7,1;24,3;9,3;23,5;3;12,6;8;-11,1;43;0
QP011009;8910;11510;15280;0,6;7470;8540;9520;10410;12480;14410;16220;19970;2,7;0,231;3,173;46,4;6,6;26,2;2,9;31,4;6,5;15,2;9,8;-6,9;60,2;0
QP011010;9770;13490;19110;0,7;7150;9160;10360;12030;14950;17810;20470;25140;3,5;0,294;4,524;45,1;4,3;36,3;9,3;20,8;3,8;11;6;-11,5;43,3;0
QP012001;10220;12880;16580;0,5;7720;9580;10560;11970;13810;15750;17560;20690;2,7;0,222;3,187;58,6;7,2;25,2;2,4;21,8;6,9;9;5,9;-8;45,6;0
QP012002;9950;12900;16980;0,5;7840;9260;10780;11890;14050;15560;18280;22620;2,9;0,267;3,891;54,6;5,3;25,5;6,6;22,9;4,3;11,6;7;-9,6;46,1;0
QP013001;8750;11230;15250;0,6;5720;8150;9230;10210;12500;14260;16220;19000;3,3;0,26;3,763;49,1;6,7;21,3;4,1;32,5;7,5;15,4;9,6;-7;59,5;0
QP013002;12130;15060;18550;0,4;9090;11510;12820;13880;16200;17580;20420;23560;2,6;0,2;2,77;61,6;7,3;22,5;1,7;21,6;3,8;10,6;7,2;-7,4;28,5;1
QP013003;10780;14020;18540;0,6;8290;10300;11370;12680;15870;17720;19510;23100;2,8;0,229;3,171;60,4;6,5;24,2;3,6;21,6;6,1;8,7;6,8;-9,8;38,8;0
QP013004;12980;15990;20130;0,4;10600;12120;13900;14950;17220;19170;20770;23830;2,2;0,181;2,468;77,3;5,6;14,6;1,6;15,9;6,6;4;5,4;-9,4;21,3;0
QP013005;9550;12270;15840;0,5;7470;9120;10150;11270;13320;15020;17040;20490;2,7;0,234;3,275;52,4;6,2;23,2;2,1;30,5;9;12;9,5;-8,2;51,8;0
QP013006;10790;13950;17680;0,5;8470;10140;11370;12880;15670;16690;19030;23800;2,8;0,215;2,938;65,7;6,8;21,6;2,3;19,2;6;7,2;6;-8,8;37,7;0
QP013007;9530;12220;15410;0,5;7780;9020;9860;11210;13430;14660;16940;19980;2,6;0,215;2,926;56,9;7,2;16,3;1,5;32,1;9,3;12,6;10,2;-6,8;52,1;0
QP013008;9950;12680;15450;0,4;7960;9370;10600;11840;13430;14470;16550;20610;2,6;0,207;2,801;49,8;5,1;24,1;1,9;31,7;7,9;13,9;10;-7,5;48,2;0
QP013009;11210;14850;19660;0,6;8580;10380;11780;13180;16620;18550;20860;25070;2,9;0,233;3,3;69,9;5,2;20,8;3,2;17,2;4;7,3;5,9;-11,1;34,3;1
QP013010;9770;12480;15500;0,5;8050;9150;10310;11490;13560;14810;16690;19690;2,4;0,203;2,817;45,4;6,9;30,4;2,5;28,4;6,3;12,3;9,9;-6,7;50;0
QP013011;9700;12390;15770;0,5;7800;9120;10170;11390;13610;14960;16720;20200;2,6;0,212;2,926;51,1;7,2;25,3;2,3;28,4;8,3;10,8;9,3;-7,1;51;0
QP013012;10090;13100;16920;0,5;8160;9560;10730;11840;14160;15590;17890;20770;2,5;0,206;2,828;54,7;6,5;23,9;2,1;26,8;6,9;11;8,9;-7,5;44,8;0
QP013013;8960;12240;17010;0,7;6290;8130;9660;10840;13770;15810;18430;23260;3,7;0,301;4,769;58,9;7,1;24,5;7,6;19,2;4,9;8,7;5,6;-10,2;51,4;0
QP013014;11060;14260;18430;0,5;8710;10270;11680;12960;15580;17270;19710;22870;2,6;0,213;2,962;61,8;5,7;24,8;2,5;19,9;5,6;8;6,3;-9;36,4;0
QP013015;9880;12870;16150;0,5;7920;9270;10390;11660;13740;15370;17020;19440;2,5;0,207;2,834;55,3;5,8;21;2,5;28,6;6,3;13,5;8,9;-7,4;46,1;0
QP013016;10580;13870;18010;0,5;8380;10040;11350;12510;15310;17010;19420;22810;2,7;0,218;3,035;54,1;5,6;31,8;3,1;19,6;5;8,5;6,1;-8,6;39,9;0
QP013017;9580;12690;15780;0,5;7680;9080;10250;11590;13890;14830;16750;20190;2,6;0,22;3,085;52,9;5;26,6;2,5;25,2;6,8;11;7,4;-7,2;49,1;0
QP013018;10640;13340;17390;0,5;8400;9870;11210;12330;14650;16440;18590;21390;2,5;0,207;2,857;61,5;7,1;18,4;1,9;25,6;8,4;8,9;8,3;-7,4;41,4;0
QP013019;11660;14270;18120;0,5;8880;10850;12330;13310;15270;16910;19060;22500;2,5;0,2;2,792;69,8;7,5;13,5;2,4;22,6;8,2;6,8;7,6;-8,3;31,9;0
QP013020;10960;13920;17520;0,5;8220;10250;11530;12660;15080;16710;18630;21050;2,6;0,197;2,742;55,1;6,6;29,9;1,9;20,8;5,9;8,1;6,8;-7,7;38,1;0
QP013021;9780;12730;16560;0,5;7760;9180;10300;11760;13700;15390;17850;20360;2,6;0,209;2,806;52,6;5,4;23,9;1,7;28,7;8;11,8;8,9;-6,9;47,7;0
QP013022;10200;13380;16950;0,5;8270;9500;10960;12340;14600;16290;18100;21480;2,6;0,211;2,937;57;6,3;21,8;2,2;26,3;7,6;10,5;8,2;-7,3;41,7;0
QP013023;10850;13760;17690;0,5;8590;10210;11450;12670;15180;16570;18560;21470;2,5;0,199;2,753;63,7;7,5;20,1;1,7;22,8;6,3;8,6;7,9;-8,3;38,1;0
QP013024;10690;13720;18200;0,5;8590;10110;11330;12450;15090;17070;19290;22730;2,6;0,226;3,085;56,8;5,1;23,8;3,2;24,8;7,1;10,3;7,4;-8,6;40,4;0
QP013025;11560;14660;19090;0,5;8700;10770;12210;13440;16250;17820;20480;23840;2,7;0,217;3,044;54,7;4,7;33,6;3,3;17,2;3,9;7,9;5,4;-8,8;32,7;0
QP013026;11220;15170;19650;0,6;8040;10280;12310;13840;16440;18400;21130;25660;3,2;0,24;3,482;70;7,2;21,8;6,1;13;2,5;6,8;3,7;-10,9;31,5;0
QP013027;10010;13570;18370;0,6;7360;9230;10510;12480;15490;17210;19900;24810;3,4;0,268;3,985;67;6,5;23,5;4,9;14,4;4,3;6;4,1;-9,8;40,6;0
QP013028;10500;13730;17520;0,5;8400;10010;11540;12540;15000;16480;18310;21510;2,6;0,208;2,85;65,2;6,8;21,5;2,4;18,6;7,1;6;5,5;-7,7;39,7;0
QP013029;9950;12600;15570;0,4;8180;9350;10510;11540;13490;14700;16410;19290;2,4;0,195;2,681;55;7,5;21,2;1,7;28,8;9,1;10,2;9,6;-6,7;48,9;0
QP013030;11040;14620;18790;0,5;8810;9980;11980;13530;15910;17760;19880;23330;2,6;0,214;2,928;63,4;7,3;25,4;2,6;17,6;4,7;6,8;6;-9;33,3;0
QP013031;9840;13830;18510;0,6;7030;9110;10500;12170;15650;17450;19720;22800;3,2;0,253;3,855;63,8;6,1;21,9;3,4;20,3;5,7;8,1;6,5;-9,4;41,9;0
QP013032;9060;12170;17390;0,7;6470;8410;9660;10840;13780;15950;19150;24380;3,8;0,301;4,764;61,5;6;20,8;5;24,3;5,4;11,2;7,7;-11,6;52;0
QP013033;10440;13520;18390;0,6;8040;9700;11100;12410;15520;17220;19690;23640;2,9;0,237;3,375;59,1;5,2;27,5;4,8;19,1;5,4;7,8;5,9;-10,5;40,4;0
QP013034;10370;13620;19360;0,7;8330;9790;11160;12290;15320;17990;20890;27230;3,3;0,268;3,732;70;5,8;15,8;3;23,6;7,1;9,5;7;-12,4;41,7;0
QP013035;10030;12930;17300;0,6;7900;9350;10500;11330;14280;15960;18120;20900;2,6;0,225;3,089;56,8;6,5;24,4;2,2;25,3;8,8;9,3;7,3;-8,7;47,3;0
QP013036;9310;12210;16470;0,6;7240;8820;9760;11070;13270;15560;17440;20610;2,8;0,24;3,45;54,4;6,2;23,2;2,3;28,1;8,1;12,1;7,9;-8;51,6;0
QP013037;9870;13070;16600;0,5;7990;9220;10560;11850;14200;15650;17470;20050;2,5;0,204;2,701;49,8;5,9;29,8;2,3;26;6,8;10,8;8,4;-7,9;45,2;0
QP013038;9660;12740;17260;0,6;7610;8980;10250;11580;14210;16200;18540;22330;2,9;0,24;3,365;59,4;5,6;21,7;3;25,2;7,8;10,2;7,3;-9,3;47,7;0
QP013039;9760;12590;16940;0,6;7850;9270;10230;11520;13740;15940;18060;21060;2,7;0,218;2,972;52,7;5,4;28,1;1,9;25,5;6,4;11,6;7,5;-8,2;49;0
QP013040;9690;12720;16210;0,5;7780;9050;10240;11530;13880;15240;17030;20070;2,6;0,206;2,832;53,7;7;21,5;1,5;30,7;8,1;13,2;9,4;-7,4;48,3;0
QP013041;10900;14360;17760;0,5;8920;10290;11450;13290;15550;17100;18840;22290;2,5;0,197;2,693;60,1;6,4;25,4;2;21,2;7,9;7;6,3;-8,7;35,2;0
QP013042;8930;11440;15060;0,5;6920;8460;9390;10340;12630;14130;16150;19470;2,8;0,236;3,355;49;5,4;19,7;2,1;36,3;9,8;16,2;10,2;-7,1;58,7;0
QP013043;9680;12810;17170;0,6;7970;9070;10110;11300;14250;16050;18670;22390;2,8;0,238;3,222;52,7;4,6;28,3;2,1;26,2;8,2;9,8;8,2;-9,3;47,5;0
QP013044;9220;11580;15310;0,5;7500;8710;9660;10550;12890;14330;16520;19770;2,6;0,223;3,082;46,8;5,8;22,3;2;35,7;9,6;15,3;10,8;-6,8;57,5;0
QP013045;9230;12720;16090;0,5;7550;8710;9740;11200;13700;15270;16840;20500;2,7;0,224;3,091;51,2;5,8;22,3;1,5;32,5;8,1;15,4;9,1;-7,5;48,5;0
QP013046;9740;11970;15370;0,5;7900;9050;10320;11040;13330;14650;16240;19110;2,4;0,213;2,873;50,3;4,9;21,3;1,3;34;8,9;14,4;10,8;-6,9;57;0
QP013047;9680;13210;17720;0,6;7280;8790;10360;11710;14760;17090;18900;23190;3,2;0,261;3,771;59,4;5,4;24,4;3,6;22,4;4,6;11,6;6,1;-9,8;45,7;0
QP013048;9650;12920;17610;0,6;7730;9140;10220;11430;14580;16340;18840;22600;2,9;0,248;3,479;52,7;4,7;27,2;4,3;25;8,3;9,9;6,8;-9,2;47;0
QP013049;8950;11550;15670;0,6;6780;8360;9440;10500;12910;14620;16890;20210;3;0,245;3,57;51,3;5,7;21,3;2,1;33;9,8;13,7;9,6;-7,7;57,2;0
QP013050;9330;12160;15900;0,5;7500;8830;9970;10830;13680;15100;17040;19880;2,7;0,218;3,006;48,7;5,2;25,7;1,6;31,4;9,5;12,3;9,6;-7,4;52,1;0
QP013051;9360;11770;15330;0,5;7330;8860;9880;10760;12920;14520;16480;20230;2,8;0,235;3,288;52,9;6,8;19;2,6;33,2;10;13,3;9,9;-7,7;56,3;0
QP013052;9350;12490;16810;0,6;7270;8640;9970;11340;13960;15660;17780;21290;2,9;0,248;3,547;52,4;6,1;25,2;3,4;27,9;8,4;12;7,5;-8,9;49,9;0
QP013053;8880;12230;16880;0,7;6760;8260;9580;10880;13650;15780;18140;22360;3,3;0,274;4,177;53,1;5,7;25,8;3,8;26,4;6,1;12,1;8,2;-9,1;52,1;0
